property_phys_chem_id;procedure_phys_chem_id;unit_of_measure_id;value_min;value_max;definition;common_input_units;conversion_factors;notes
cadmiumProperty;Extr_edta;%;0;100;EthyleneDiamineTetraAcetic acid (EDTA) method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_h2so4-truog;%;0;100;Method of Truog (dilute H2SO4). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_hcl-h2so4-nelson;%;0;100;Method of Nelson (dilute HCl/H2SO4). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_hcl-nh4f-bray1;%;0;100;Method of Bray I  (dilute HCl/NH4F). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_hcl-nh4f-bray2;%;0;100;Method of Bray II (dilute HCl/NH4F). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_hcl-nh4f-kurtz-bray;%;0;100;Method of Kurtz-Bray I (0.025 M HCl + 0.03 M NH4F). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_hno3;%;0;100;Nitric acid (HNO3) method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_hotwater;%;0;100;Hot water. Particularly used for available B;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_m1;%;0;100;Mehlich1 method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_m2;%;0;100;Mehlich2 method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_m3;%;0;100;Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA);"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_m3-spec;%;0;100;Spectrally measured and converted to Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA);"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_nahco3-olsen;%;0;100;Method of Olsen (0.5 M Sodium Bicarbonate (NaHCO3) extraction at pH8.5). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_nahco3-olsen-dabin;%;0;100;Method of Olsen, modified by Dabin (ORSTOM). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_naoac-morgan;%;0;100;Method of Morgan (Na-acetate/acetic acid). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_nh4-co3-2-ambic1;%;0;100;Ambic1 method (ammonium bicarbonate) (South Africa). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Extr_nh4ch3ch-oh-cooh-leuven;%;0;100;NH4-lactate extraction method (KU-Leuven). Particularly used for available P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_h2so4;%;0;100;Total P-/- colorimetric in H2SO4-Se-Salicylic acid digest( sulfuric acid) Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_hcl;%;0;100;HCl extraction. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_hcl-aquaregia;%;0;100;Hydrocloric (HCl) extraction in nitric/perchloric acid mixture (totals) aqua regia;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_hclo4;%;0;100;Perchloric acid percolation. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_hno3-aquafortis;%;0;100;Nitric acid attack. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_nh4-6mo7o24;%;0;100;COLORIMETRIC VANADATE MOLYBDATE. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_tp03;%;0;100;reagent of Baeyens. Precipitation in form of Phosphomolybdate. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_tp04;%;0;100;acid fleischman. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_tp05;%;0;100;8 M HCl extraction. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_tp06;%;0;100;Molybdenum blue method, using ascorbic acid as reductant after heating of soil to 550 C and extraction with 6M sulphuric acid. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_tp07;%;0;100;1:1 H2SO4 : HNO3. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_tp08;%;0;100;After Nitric acid attack (boiling with HNO3), colometric determination (method of Duval).. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_tp09;%;0;100;Walker and Adams, 1958. Particularly used for Total P.;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_tp10;%;0;100;Colorimetric, unspecified extract;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_unkn;%;0;100;Unspecified method;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_xrd;%;0;100;XRD;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_xrf;%;0;100;XRF;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_xrf-p;%;0;100;PXRF;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
cadmiumProperty;Total_xtf-t;%;0;100;TXRF;"%;mg/kg;ppm;ug/g";"1;0.0001;0.0001;0.0001";mg/kg = ppm = ug/g (trace element)
Calcium (Ca++) - exchangeable;ExchBases_ph-unkn-edta;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unknown buffer, in EDTA solution;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph-unkn-m3;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unknown buffer, in Mehlich3 solution with extractable ppm assumed exchangeable cmolc/kg;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph-unkn-m3-spec;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) spectrally measured and converted to, unknown buffer, in Mehlich3 solution with extractable ppm assumed exchangeable cmolc/kg;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph0-cohex;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unbuffered, in Cobalt(III) hexamine chloride solution 0,0166M (Cohex) [Co[NH3]6]Cl3 ), ISO 23470 (2007);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph0-nh4cl;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) unbuffered, in 1 M NH4Cl (0.05-1.0 m?);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph7-nh4oac;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph7-nh4oac-aas;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc, Ca and Mg with AAS (Atomic Absorption Spectrometry);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph7-nh4oac-fp;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 7, in 1M NH4OAc, K and Na with FP (Flame Photometry);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph7-unkn;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 7, in unknown solution;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph8-bacl2tea;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 8.0-8.5, in 0.5 M BaCl2 - TEA solution;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - exchangeable;ExchBases_ph8-unkn;cmol/kg;0;100;Exch bases (Ca, Mg, K, Na) buffered at pH 8.0-8.5, in unknown solution;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_ap14;cmol/kg;0;1000;Method of Saunders and Metelerkamp (anion-exch. resin). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_ap15;cmol/kg;0;1000;Method of Hunter (1975) modified after ISFEI method. Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_ap20;cmol/kg;0;1000;Olsen (not acid soils) resp. Bray I (acid soils). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_ap21;cmol/kg;0;1000;Olsen (if pH > 7) resp. Mehlich (if pH < 7). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_c6h8o7-reeuwijk;cmol/kg;0;1000;Complexation with citric acid (van Reeuwijk). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_cacl2;cmol/kg;0;1000;CaCl2. Particularly used for soluble P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_capo4;cmol/kg;0;1000;Ca phosphate. Particularly used for available S.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_dtpa;cmol/kg;0;1000;DiethyneleTriaminePentaAcetic acid (DTPA) method;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_edta;cmol/kg;0;1000;EthyleneDiamineTetraAcetic acid (EDTA) method;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_h2so4-truog;cmol/kg;0;1000;Method of Truog (dilute H2SO4). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_hcl-h2so4-nelson;cmol/kg;0;1000;Method of Nelson (dilute HCl/H2SO4). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_hcl-nh4f-bray1;cmol/kg;0;1000;Method of Bray I  (dilute HCl/NH4F). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_hcl-nh4f-bray2;cmol/kg;0;1000;Method of Bray II (dilute HCl/NH4F). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_hcl-nh4f-kurtz-bray;cmol/kg;0;1000;Method of Kurtz-Bray I (0.025 M HCl + 0.03 M NH4F). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_hno3;cmol/kg;0;1000;Nitric acid (HNO3) method;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_hotwater;cmol/kg;0;1000;Hot water. Particularly used for available B;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_m1;cmol/kg;0;1000;Mehlich1 method;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_m2;cmol/kg;0;1000;Mehlich2 method;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_m3;cmol/kg;0;1000;Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_m3-spec;cmol/kg;0;1000;Spectrally measured and converted to Mehlich3 method (extractant 0.2 N CH3COOH + 0.25 N NH4NO3 + 0.015 N NH4F + 0.013 N HNO3 + 0.001 M EDTA);"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_nahco3-olsen;cmol/kg;0;1000;Method of Olsen (0.5 M Sodium Bicarbonate (NaHCO3) extraction at pH8.5). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_nahco3-olsen-dabin;cmol/kg;0;1000;Method of Olsen, modified by Dabin (ORSTOM). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_naoac-morgan;cmol/kg;0;1000;Method of Morgan (Na-acetate/acetic acid). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_nh4-co3-2-ambic1;cmol/kg;0;1000;Ambic1 method (ammonium bicarbonate) (South Africa). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - extractable;Extr_nh4ch3ch-oh-cooh-leuven;cmol/kg;0;1000;NH4-lactate extraction method (KU-Leuven). Particularly used for available P.;"cmol/kg;meq/100g;mmol/kg;mg/kg";"1;1;10;0.00499";"cmol/kg = meq/100g; 1 cmol/kg Ca = 200.4 mg/kg"
Calcium (Ca++) - total;Total_h2so4;cmol/kg;0;1000;Total P-/- colorimetric in H2SO4-Se-Salicylic acid digest( sulfuric acid) Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_hcl;cmol/kg;0;1000;HCl extraction. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_hcl-aquaregia;cmol/kg;0;1000;Hydrocloric (HCl) extraction in nitric/perchloric acid mixture (totals) aqua regia;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_hclo4;cmol/kg;0;1000;Perchloric acid percolation. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_hno3-aquafortis;cmol/kg;0;1000;Nitric acid attack. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_nh4-6mo7o24;cmol/kg;0;1000;COLORIMETRIC VANADATE MOLYBDATE. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_tp03;cmol/kg;0;1000;reagent of Baeyens. Precipitation in form of Phosphomolybdate. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_tp04;cmol/kg;0;1000;acid fleischman. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_tp05;cmol/kg;0;1000;8 M HCl extraction. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_tp06;cmol/kg;0;1000;Molybdenum blue method, using ascorbic acid as reductant after heating of soil to 550 C and extraction with 6M sulphuric acid. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_tp07;cmol/kg;0;1000;1:1 H2SO4 : HNO3. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_tp08;cmol/kg;0;1000;After Nitric acid attack (boiling with HNO3), colometric determination (method of Duval).. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_tp09;cmol/kg;0;1000;Walker and Adams, 1958. Particularly used for Total P.;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_tp10;cmol/kg;0;1000;Colorimetric, unspecified extract;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_unkn;cmol/kg;0;1000;Unspecified method;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_xrd;cmol/kg;0;1000;XRD;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_xrf;cmol/kg;0;1000;XRF;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_xrf-p;cmol/kg;0;1000;PXRF;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Calcium (Ca++) - total;Total_xtf-t;cmol/kg;0;1000;TXRF;"cmol/kg;%;g/kg;mg/kg";"1;2.5;0.25;0.00499";Total Ca can be % or cmol/kg
Carbon (C) - organic;OrgC_acid-dc;g/kg;0;1000;Acidified dry combustion or dry oxidation methods (after removal of carbonates);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_acid-dc-ht;g/kg;0;1000;Acidified. Dry combustion at 1200 C and colometric CO2 measurement (Schlichting et al. 1995);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_acid-dc-ht-analyser;g/kg;0;1000;Acidified. Furnace combustion (e.g., LECO combustion analyzer, Dumas method);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_acid-dc-lt;g/kg;0;1000;Acidified. Dry combustion at 500 C;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_acid-dc-lt-loi;g/kg;0;1000;Acidified. Loss on ignition (NL);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_acid-dc-mt;g/kg;0;1000;Acidified. Dry combustion at 840 C;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_acid-dc-spec;g/kg;0;1000;Spectrally measured and converted to Acidified dry combustion or dry oxidation methods (after removal of carbonates);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_calcul-tc-ic;g/kg;0;1000;Calculated as total carbon minus inorganic carbon;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_dc;g/kg;0;1000;Unacidified. Dry combustion or dry oxidation methods (without prior removal of carbonates);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_dc-ht;g/kg;0;1000;Unacidified. Dry combustion at high temperature (e.g. 1200 C and colometric CO2 measurement (Schlichting et al. 1995);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_dc-ht-analyser;g/kg;0;1000;Unacidified. Dry combustion by furnace (e.g., LECO combustion analyzer, Dumas method). Is total Carbon?;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_dc-lt;g/kg;0;1000;Unacidified. Dry combustion at low temperature e.g. 500 C;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_dc-lt-loi;g/kg;0;1000;Unacidified. Loss on ignition (NL) is total Organic Carbon;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_dc-mt;g/kg;0;1000;Unacidified. Dry combustion at medium temperature e.g. 840 C;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_dc-spec;g/kg;0;1000;Spectrally measured and converted to Unacidified Dry combustion or dry oxidation methods;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_wc;g/kg;0;1000;Wet oxidation or wet combustion methods;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_wc-cro3-jackson;g/kg;0;1000;Wet oxidation according to Jackson (1958) with chromic acid digestion;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_wc-cro3-kalembra;g/kg;0;1000;Wet oxidation according to Kalembra and Jenkinson (1973) with acid dichromate;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_wc-cro3-knopp;g/kg;0;1000;Wet oxidation according to Knopp with chromic acid and gravimetric determination of CO2;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_wc-cro3-kurmies;g/kg;0;1000;Wet oxidation according to Kurmies with K2Cr2O7+H2SO4;"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
Carbon (C) - organic;OrgC_wc-cro3-nelson;g/kg;0;1000;Wet oxidation according to Nelson and Sommers (1996);"g/kg;%;mg/kg;g/100g";"1;10;0.001;10";% = g/100g
